[DISPLAY]
VER=244
TYPE=1
DATALEN=2
XPARAM=0
YPARAM=1
XRANGE=8191
YRANGE=0
NAME=C:\Dokumente, und, Einstellungen\Praktikum\Desktop\ELyas\Ba_81KeV.csv
XTITLE=x
YTITLE=y

[DATA]
797, 0, 1
838, 0, 1
855, 0, 1
953, 0, 1
1005, 0, 1
1075, 0, 1
1076, 0, 1
1077, 0, 1
1082, 0, 2
1083, 0, 1
1084, 0, 9
1085, 0, 10
1086, 0, 22
1087, 0, 26
1088, 0, 37
1089, 0, 38
1090, 0, 59
1091, 0, 55
1092, 0, 55
1093, 0, 48
1094, 0, 76
1095, 0, 49
1096, 0, 50
1097, 0, 52
1098, 0, 53
1099, 0, 71
1100, 0, 47
1101, 0, 69
1102, 0, 68
1103, 0, 69
1104, 0, 48
1105, 0, 52
1106, 0, 69
1107, 0, 66
1108, 0, 64
1109, 0, 64
1110, 0, 45
1111, 0, 86
1112, 0, 57
1113, 0, 70
1114, 0, 69
1115, 0, 60
1116, 0, 76
1117, 0, 68
1118, 0, 82
1119, 0, 68
1120, 0, 61
1121, 0, 63
1122, 0, 66
1123, 0, 70
1124, 0, 67
1125, 0, 78
1126, 0, 74
1127, 0, 73
1128, 0, 81
1129, 0, 72
1130, 0, 73
1131, 0, 88
1132, 0, 87
1133, 0, 83
1134, 0, 91
1135, 0, 99
1136, 0, 66
1137, 0, 99
1138, 0, 90
1139, 0, 93
1140, 0, 95
1141, 0, 109
1142, 0, 89
1143, 0, 110
1144, 0, 114
1145, 0, 114
1146, 0, 117
1147, 0, 105
1148, 0, 105
1149, 0, 115
1150, 0, 107
1151, 0, 117
1152, 0, 119
1153, 0, 111
1154, 0, 113
1155, 0, 125
1156, 0, 121
1157, 0, 130
1158, 0, 103
1159, 0, 93
1160, 0, 121
1161, 0, 116
1162, 0, 155
1163, 0, 144
1164, 0, 107
1165, 0, 143
1166, 0, 134
1167, 0, 129
1168, 0, 141
1169, 0, 159
1170, 0, 152
1171, 0, 160
1172, 0, 156
1173, 0, 151
1174, 0, 165
1175, 0, 157
1176, 0, 163
1177, 0, 165
1178, 0, 169
1179, 0, 185
1180, 0, 168
1181, 0, 174
1182, 0, 169
1183, 0, 185
1184, 0, 185
1185, 0, 184
1186, 0, 192
1187, 0, 171
1188, 0, 207
1189, 0, 185
1190, 0, 190
1191, 0, 208
1192, 0, 212
1193, 0, 193
1194, 0, 224
1195, 0, 214
1196, 0, 228
1197, 0, 232
1198, 0, 237
1199, 0, 225
1200, 0, 230
1201, 0, 261
1202, 0, 245
1203, 0, 239
1204, 0, 264
1205, 0, 255
1206, 0, 276
1207, 0, 249
1208, 0, 252
1209, 0, 275
1210, 0, 248
1211, 0, 285
1212, 0, 266
1213, 0, 234
1214, 0, 274
1215, 0, 275
1216, 0, 266
1217, 0, 251
1218, 0, 260
1219, 0, 294
1220, 0, 284
1221, 0, 279
1222, 0, 283
1223, 0, 280
1224, 0, 309
1225, 0, 258
1226, 0, 277
1227, 0, 286
1228, 0, 313
1229, 0, 331
1230, 0, 285
1231, 0, 275
1232, 0, 300
1233, 0, 359
1234, 0, 293
1235, 0, 274
1236, 0, 298
1237, 0, 304
1238, 0, 310
1239, 0, 300
1240, 0, 295
1241, 0, 293
1242, 0, 297
1243, 0, 311
1244, 0, 292
1245, 0, 298
1246, 0, 290
1247, 0, 325
1248, 0, 299
1249, 0, 276
1250, 0, 341
1251, 0, 312
1252, 0, 281
1253, 0, 274
1254, 0, 316
1255, 0, 257
1256, 0, 317
1257, 0, 284
1258, 0, 275
1259, 0, 293
1260, 0, 280
1261, 0, 269
1262, 0, 286
1263, 0, 284
1264, 0, 294
1265, 0, 266
1266, 0, 267
1267, 0, 260
1268, 0, 280
1269, 0, 249
1270, 0, 276
1271, 0, 238
1272, 0, 283
1273, 0, 250
1274, 0, 262
1275, 0, 223
1276, 0, 231
1277, 0, 224
1278, 0, 251
1279, 0, 248
1280, 0, 239
1281, 0, 232
1282, 0, 228
1283, 0, 184
1284, 0, 198
1285, 0, 215
1286, 0, 218
1287, 0, 188
1288, 0, 181
1289, 0, 200
1290, 0, 170
1291, 0, 179
