[DISPLAY]
VER=244
TYPE=1
DATALEN=2
XPARAM=0
YPARAM=1
XRANGE=8191
YRANGE=0
NAME=C:\Dokumente, und, Einstellungen\Praktikum\Desktop\ELyas\Ba_Full_Spectrum.csv
XTITLE=x
YTITLE=y

[DATA]
67, 0, 2
68, 0, 10
69, 0, 44
70, 0, 63
71, 0, 66
72, 0, 68
73, 0, 73
74, 0, 69
75, 0, 73
76, 0, 75
77, 0, 64
78, 0, 59
79, 0, 74
80, 0, 46
81, 0, 44
82, 0, 39
83, 0, 42
84, 0, 31
85, 0, 48
86, 0, 40
87, 0, 34
88, 0, 36
89, 0, 36
90, 0, 41
91, 0, 42
92, 0, 33
93, 0, 34
94, 0, 28
95, 0, 30
96, 0, 30
97, 0, 25
98, 0, 25
99, 0, 25
100, 0, 24
101, 0, 24
102, 0, 24
103, 0, 31
104, 0, 16
105, 0, 26
106, 0, 22
107, 0, 17
108, 0, 24
109, 0, 29
110, 0, 20
111, 0, 18
112, 0, 14
113, 0, 22
114, 0, 18
115, 0, 22
116, 0, 23
117, 0, 24
118, 0, 22
119, 0, 22
120, 0, 24
121, 0, 24
122, 0, 33
123, 0, 27
124, 0, 30
125, 0, 25
126, 0, 21
127, 0, 21
128, 0, 18
129, 0, 17
130, 0, 26
131, 0, 20
132, 0, 25
133, 0, 20
134, 0, 23
135, 0, 26
136, 0, 22
137, 0, 15
138, 0, 26
139, 0, 22
140, 0, 22
141, 0, 16
142, 0, 16
143, 0, 16
144, 0, 16
145, 0, 21
146, 0, 19
147, 0, 27
148, 0, 21
149, 0, 28
150, 0, 27
151, 0, 30
152, 0, 29
153, 0, 26
154, 0, 30
155, 0, 17
156, 0, 34
157, 0, 26
158, 0, 27
159, 0, 16
160, 0, 31
161, 0, 25
162, 0, 24
163, 0, 22
164, 0, 35
165, 0, 25
166, 0, 26
167, 0, 28
168, 0, 31
169, 0, 25
170, 0, 33
171, 0, 26
172, 0, 26
173, 0, 30
174, 0, 26
175, 0, 19
176, 0, 28
177, 0, 19
178, 0, 24
179, 0, 22
180, 0, 23
181, 0, 27
182, 0, 18
183, 0, 35
184, 0, 26
185, 0, 25
186, 0, 36
187, 0, 29
188, 0, 34
189, 0, 25
190, 0, 32
191, 0, 35
192, 0, 24
193, 0, 33
194, 0, 45
195, 0, 41
196, 0, 41
197, 0, 49
198, 0, 36
199, 0, 37
200, 0, 40
201, 0, 38
202, 0, 40
203, 0, 35
204, 0, 34
205, 0, 40
206, 0, 36
207, 0, 48
208, 0, 37
209, 0, 39
210, 0, 37
211, 0, 41
212, 0, 46
213, 0, 58
214, 0, 48
215, 0, 33
216, 0, 45
217, 0, 40
218, 0, 44
219, 0, 47
220, 0, 51
221, 0, 44
222, 0, 44
223, 0, 50
224, 0, 40
225, 0, 40
226, 0, 40
227, 0, 51
228, 0, 43
229, 0, 43
230, 0, 51
231, 0, 50
232, 0, 46
233, 0, 57
234, 0, 48
235, 0, 39
236, 0, 57
237, 0, 50
238, 0, 54
239, 0, 58
240, 0, 47
241, 0, 58
242, 0, 57
243, 0, 51
244, 0, 53
245, 0, 74
246, 0, 61
247, 0, 63
248, 0, 56
249, 0, 73
250, 0, 59
251, 0, 53
252, 0, 59
253, 0, 50
254, 0, 73
255, 0, 58
256, 0, 52
257, 0, 62
258, 0, 60
259, 0, 74
260, 0, 69
261, 0, 58
262, 0, 64
263, 0, 62
264, 0, 47
265, 0, 56
266, 0, 57
267, 0, 61
268, 0, 55
269, 0, 63
270, 0, 75
271, 0, 70
272, 0, 59
273, 0, 47
274, 0, 46
275, 0, 69
276, 0, 66
277, 0, 59
278, 0, 54
279, 0, 70
280, 0, 75
281, 0, 58
282, 0, 55
283, 0, 49
284, 0, 59
285, 0, 54
286, 0, 52
287, 0, 65
288, 0, 70
289, 0, 63
290, 0, 75
291, 0, 56
292, 0, 59
293, 0, 63
294, 0, 66
295, 0, 51
296, 0, 55
297, 0, 58
298, 0, 62
299, 0, 54
300, 0, 61
301, 0, 53
302, 0, 58
303, 0, 58
304, 0, 68
305, 0, 54
306, 0, 61
307, 0, 66
308, 0, 70
309, 0, 60
310, 0, 69
