[DISPLAY]
VER=244
TYPE=1
DATALEN=2
XPARAM=0
YPARAM=1
XRANGE=8191
YRANGE=0
NAME=C:\Dokumente, und, Einstellungen\Praktikum\Desktop\ELyas\Life_time_curve.csv
XTITLE=x
YTITLE=y

[DATA]
70, 0, 1
71, 0, 4
72, 0, 10
73, 0, 13
74, 0, 5
75, 0, 15
76, 0, 9
77, 0, 12
78, 0, 10
79, 0, 9
80, 0, 14
81, 0, 13
82, 0, 5
83, 0, 15
84, 0, 11
85, 0, 11
86, 0, 8
87, 0, 10
88, 0, 5
89, 0, 17
90, 0, 3
91, 0, 12
92, 0, 13
93, 0, 16
94, 0, 10
95, 0, 10
96, 0, 14
97, 0, 18
98, 0, 13
99, 0, 6
100, 0, 14
101, 0, 6
102, 0, 12
103, 0, 13
104, 0, 8
105, 0, 12
106, 0, 7
107, 0, 16
108, 0, 12
109, 0, 13
110, 0, 12
111, 0, 13
112, 0, 16
113, 0, 8
114, 0, 10
115, 0, 16
116, 0, 21
117, 0, 11
118, 0, 17
119, 0, 7
120, 0, 10
121, 0, 16
122, 0, 15
123, 0, 12
124, 0, 12
125, 0, 6
126, 0, 15
127, 0, 11
128, 0, 12
129, 0, 13
130, 0, 9
131, 0, 13
132, 0, 15
133, 0, 9
134, 0, 13
135, 0, 11
136, 0, 9
137, 0, 13
138, 0, 9
139, 0, 17
140, 0, 17
141, 0, 10
142, 0, 10
143, 0, 13
144, 0, 10
145, 0, 13
146, 0, 15
147, 0, 16
148, 0, 12
149, 0, 19
150, 0, 15
151, 0, 9
152, 0, 14
153, 0, 13
154, 0, 18
155, 0, 8
156, 0, 23
157, 0, 10
158, 0, 13
159, 0, 16
160, 0, 16
161, 0, 14
162, 0, 13
163, 0, 13
164, 0, 13
165, 0, 14
166, 0, 24
167, 0, 18
168, 0, 17
169, 0, 17
170, 0, 12
171, 0, 28
172, 0, 12
173, 0, 14
174, 0, 13
175, 0, 12
176, 0, 17
177, 0, 16
178, 0, 16
179, 0, 19
180, 0, 16
181, 0, 13
182, 0, 16
183, 0, 17
184, 0, 16
185, 0, 17
186, 0, 11
187, 0, 19
188, 0, 14
189, 0, 21
190, 0, 13
191, 0, 15
192, 0, 16
193, 0, 15
194, 0, 23
195, 0, 25
196, 0, 15
197, 0, 13
198, 0, 12
199, 0, 13
200, 0, 16
201, 0, 21
202, 0, 28
203, 0, 19
204, 0, 23
205, 0, 13
206, 0, 16
207, 0, 17
208, 0, 16
209, 0, 21
210, 0, 20
211, 0, 17
212, 0, 18
213, 0, 14
214, 0, 15
215, 0, 22
216, 0, 19
217, 0, 12
218, 0, 21
219, 0, 12
220, 0, 21
221, 0, 18
222, 0, 17
223, 0, 14
224, 0, 15
225, 0, 26
226, 0, 20
227, 0, 18
228, 0, 19
229, 0, 9
230, 0, 20
231, 0, 25
232, 0, 17
233, 0, 20
234, 0, 15
235, 0, 15
236, 0, 14
237, 0, 17
238, 0, 26
239, 0, 17
240, 0, 21
241, 0, 20
242, 0, 16
243, 0, 24
244, 0, 20
245, 0, 14
246, 0, 28
247, 0, 19
248, 0, 17
249, 0, 22
250, 0, 17
251, 0, 17
252, 0, 18
253, 0, 13
254, 0, 29
255, 0, 24
256, 0, 23
257, 0, 9
258, 0, 30
259, 0, 16
260, 0, 16
261, 0, 14
262, 0, 19
263, 0, 22
264, 0, 22
265, 0, 22
266, 0, 19
267, 0, 24
268, 0, 19
269, 0, 23
270, 0, 20
271, 0, 18
272, 0, 23
273, 0, 23
274, 0, 20
275, 0, 21
276, 0, 22
277, 0, 15
278, 0, 20
279, 0, 17
280, 0, 22
281, 0, 19
282, 0, 15
283, 0, 13
284, 0, 17
285, 0, 13
286, 0, 21
287, 0, 28
288, 0, 15
289, 0, 28
290, 0, 20
291, 0, 19
292, 0, 18
293, 0, 17
294, 0, 16
295, 0, 27
296, 0, 22
297, 0, 20
298, 0, 30
299, 0, 18
300, 0, 18
301, 0, 12
302, 0, 16
303, 0, 20
304, 0, 26
305, 0, 14
306, 0, 21
307, 0, 18
308, 0, 31
309, 0, 23
310, 0, 18
311, 0, 21
312, 0, 23
313, 0, 29
