[DISPLAY]
VER=244
TYPE=1
DATALEN=2
XPARAM=0
YPARAM=1
XRANGE=8191
YRANGE=0
NAME=C:\Dokumente, und, Einstellungen\Praktikum\Desktop\ELyas\Na_TCA_Calibration.csv
XTITLE=x
YTITLE=y

[DATA]
69, 0, 3
70, 0, 2
71, 0, 14
72, 0, 17
73, 0, 40
74, 0, 47
75, 0, 39
76, 0, 36
77, 0, 37
78, 0, 50
79, 0, 34
80, 0, 41
81, 0, 31
82, 0, 49
83, 0, 32
84, 0, 34
85, 0, 44
86, 0, 35
87, 0, 48
88, 0, 44
89, 0, 57
90, 0, 51
91, 0, 55
92, 0, 40
93, 0, 51
94, 0, 42
95, 0, 39
96, 0, 43
97, 0, 52
98, 0, 40
99, 0, 43
100, 0, 29
101, 0, 55
102, 0, 55
103, 0, 53
104, 0, 49
105, 0, 51
106, 0, 44
107, 0, 67
108, 0, 68
109, 0, 54
110, 0, 68
111, 0, 53
112, 0, 55
113, 0, 65
114, 0, 64
115, 0, 62
116, 0, 55
117, 0, 53
118, 0, 56
119, 0, 51
120, 0, 57
121, 0, 65
122, 0, 56
123, 0, 53
124, 0, 55
125, 0, 66
126, 0, 61
127, 0, 54
128, 0, 52
129, 0, 52
130, 0, 72
131, 0, 44
132, 0, 59
133, 0, 56
134, 0, 58
135, 0, 66
136, 0, 69
137, 0, 67
138, 0, 62
139, 0, 67
140, 0, 69
141, 0, 80
142, 0, 73
143, 0, 66
144, 0, 59
145, 0, 56
146, 0, 76
147, 0, 69
148, 0, 76
149, 0, 68
150, 0, 75
151, 0, 76
152, 0, 63
153, 0, 61
154, 0, 63
155, 0, 76
156, 0, 64
157, 0, 58
158, 0, 64
159, 0, 78
160, 0, 80
161, 0, 71
162, 0, 60
163, 0, 50
164, 0, 84
165, 0, 76
166, 0, 75
167, 0, 67
168, 0, 73
169, 0, 68
170, 0, 66
171, 0, 82
172, 0, 83
173, 0, 74
174, 0, 82
175, 0, 64
176, 0, 60
177, 0, 67
178, 0, 68
179, 0, 64
180, 0, 62
181, 0, 65
182, 0, 66
183, 0, 75
184, 0, 83
185, 0, 70
186, 0, 78
187, 0, 74
188, 0, 82
189, 0, 64
190, 0, 76
191, 0, 74
192, 0, 68
193, 0, 74
194, 0, 75
195, 0, 101
196, 0, 66
197, 0, 64
198, 0, 83
199, 0, 85
200, 0, 77
201, 0, 90
202, 0, 83
203, 0, 68
204, 0, 75
205, 0, 70
206, 0, 78
207, 0, 68
208, 0, 65
209, 0, 76
210, 0, 68
211, 0, 86
212, 0, 64
213, 0, 56
214, 0, 69
215, 0, 63
216, 0, 63
217, 0, 74
218, 0, 64
219, 0, 74
220, 0, 87
221, 0, 67
222, 0, 65
223, 0, 65
224, 0, 58
225, 0, 91
226, 0, 68
227, 0, 95
228, 0, 71
229, 0, 89
230, 0, 72
231, 0, 75
232, 0, 73
233, 0, 72
234, 0, 83
235, 0, 77
236, 0, 75
237, 0, 68
238, 0, 78
239, 0, 88
240, 0, 91
241, 0, 94
242, 0, 79
243, 0, 86
244, 0, 86
245, 0, 79
246, 0, 75
247, 0, 70
248, 0, 80
249, 0, 97
250, 0, 79
251, 0, 65
252, 0, 74
253, 0, 73
254, 0, 72
255, 0, 68
256, 0, 74
257, 0, 81
258, 0, 83
259, 0, 68
260, 0, 83
261, 0, 85
262, 0, 71
263, 0, 72
264, 0, 69
265, 0, 80
266, 0, 66
267, 0, 69
268, 0, 76
269, 0, 71
270, 0, 70
271, 0, 77
272, 0, 91
273, 0, 75
274, 0, 75
275, 0, 82
276, 0, 92
277, 0, 95
278, 0, 90
279, 0, 82
280, 0, 73
281, 0, 66
282, 0, 74
283, 0, 82
284, 0, 71
285, 0, 75
286, 0, 71
287, 0, 68
288, 0, 81
289, 0, 62
290, 0, 64
291, 0, 67
292, 0, 80
293, 0, 69
294, 0, 69
295, 0, 88
296, 0, 67
297, 0, 56
298, 0, 67
299, 0, 72
300, 0, 67
301, 0, 63
302, 0, 64
303, 0, 66
304, 0, 66
305, 0, 70
306, 0, 65
307, 0, 54
308, 0, 62
309, 0, 80
310, 0, 70
311, 0, 62
312, 0, 76
