[DISPLAY]
VER=244
TYPE=1
DATALEN=2
XPARAM=0
YPARAM=1
XRANGE=8191
YRANGE=0
NAME=C:\Dokumente, und, Einstellungen\Praktikum\Desktop\ELyas\left_Na_1.csv
XTITLE=x
YTITLE=y

[DATA]
59, 0, 9
60, 0, 30
61, 0, 52
62, 0, 60
63, 0, 74
64, 0, 77
65, 0, 68
66, 0, 68
67, 0, 74
68, 0, 68
69, 0, 68
70, 0, 75
71, 0, 78
72, 0, 61
73, 0, 70
74, 0, 68
75, 0, 82
76, 0, 71
77, 0, 59
78, 0, 61
79, 0, 67
80, 0, 64
81, 0, 73
82, 0, 80
83, 0, 69
84, 0, 59
85, 0, 72
86, 0, 76
87, 0, 69
88, 0, 71
89, 0, 69
90, 0, 73
91, 0, 62
92, 0, 55
93, 0, 66
94, 0, 62
95, 0, 65
96, 0, 77
97, 0, 79
98, 0, 74
99, 0, 78
100, 0, 78
101, 0, 88
102, 0, 79
103, 0, 84
104, 0, 79
105, 0, 72
106, 0, 63
107, 0, 79
108, 0, 74
109, 0, 73
110, 0, 66
111, 0, 69
112, 0, 71
113, 0, 73
114, 0, 76
115, 0, 59
116, 0, 76
117, 0, 87
118, 0, 71
119, 0, 81
120, 0, 62
121, 0, 62
122, 0, 71
123, 0, 56
124, 0, 78
125, 0, 78
126, 0, 62
127, 0, 71
128, 0, 80
129, 0, 72
130, 0, 61
131, 0, 80
132, 0, 77
133, 0, 68
134, 0, 75
135, 0, 68
136, 0, 66
137, 0, 74
138, 0, 77
139, 0, 74
140, 0, 52
141, 0, 65
142, 0, 75
143, 0, 70
144, 0, 62
145, 0, 78
146, 0, 78
147, 0, 67
148, 0, 76
149, 0, 76
150, 0, 77
151, 0, 71
152, 0, 74
153, 0, 80
154, 0, 68
155, 0, 66
156, 0, 69
157, 0, 63
158, 0, 65
159, 0, 69
160, 0, 61
161, 0, 79
162, 0, 64
163, 0, 68
164, 0, 68
165, 0, 66
166, 0, 66
167, 0, 75
168, 0, 64
169, 0, 75
170, 0, 76
171, 0, 73
172, 0, 51
173, 0, 74
174, 0, 67
175, 0, 71
176, 0, 84
177, 0, 74
178, 0, 55
179, 0, 78
180, 0, 83
181, 0, 70
182, 0, 60
183, 0, 69
184, 0, 68
185, 0, 61
186, 0, 70
187, 0, 58
188, 0, 72
189, 0, 78
190, 0, 67
191, 0, 75
192, 0, 78
193, 0, 64
194, 0, 73
195, 0, 79
196, 0, 58
197, 0, 85
198, 0, 53
199, 0, 93
200, 0, 62
201, 0, 72
202, 0, 66
203, 0, 60
204, 0, 68
205, 0, 60
206, 0, 80
207, 0, 63
208, 0, 76
209, 0, 68
210, 0, 54
211, 0, 71
212, 0, 69
213, 0, 72
214, 0, 61
215, 0, 76
216, 0, 69
217, 0, 76
218, 0, 76
219, 0, 72
220, 0, 83
221, 0, 83
222, 0, 67
223, 0, 77
224, 0, 70
225, 0, 67
226, 0, 79
227, 0, 54
228, 0, 88
229, 0, 70
230, 0, 80
231, 0, 78
232, 0, 68
233, 0, 69
234, 0, 91
235, 0, 78
236, 0, 68
237, 0, 79
238, 0, 71
239, 0, 72
240, 0, 83
241, 0, 82
242, 0, 82
243, 0, 74
244, 0, 84
245, 0, 80
246, 0, 74
247, 0, 76
248, 0, 72
249, 0, 73
250, 0, 75
251, 0, 68
252, 0, 72
253, 0, 74
254, 0, 64
255, 0, 84
256, 0, 74
257, 0, 80
258, 0, 62
259, 0, 74
260, 0, 57
261, 0, 68
262, 0, 74
263, 0, 82
264, 0, 86
265, 0, 76
266, 0, 75
267, 0, 68
268, 0, 80
269, 0, 77
270, 0, 58
271, 0, 75
272, 0, 71
273, 0, 79
274, 0, 66
275, 0, 78
276, 0, 79
277, 0, 74
278, 0, 73
279, 0, 79
280, 0, 78
281, 0, 85
282, 0, 66
283, 0, 67
284, 0, 71
285, 0, 80
286, 0, 85
287, 0, 83
288, 0, 63
289, 0, 58
290, 0, 77
291, 0, 63
292, 0, 89
293, 0, 68
294, 0, 69
295, 0, 90
296, 0, 55
297, 0, 84
298, 0, 57
299, 0, 79
300, 0, 66
301, 0, 74
302, 0, 75
303, 0, 79
