[DISPLAY]
VER=244
TYPE=1
DATALEN=2
XPARAM=0
YPARAM=1
XRANGE=8191
YRANGE=0
NAME=C:\Dokumente, und, Einstellungen\Praktikum\Desktop\ELyas\left_Na_2_withSCAadjustment.csv
XTITLE=x
YTITLE=y

[DATA]
4495, 0, 1
4734, 0, 1
4938, 0, 1
5000, 0, 1
5052, 0, 1
5095, 0, 1
5280, 0, 1
5289, 0, 1
5364, 0, 1
5396, 0, 1
5436, 0, 1
5489, 0, 1
5502, 0, 1
5510, 0, 1
5560, 0, 1
5561, 0, 1
5584, 0, 1
5621, 0, 1
5641, 0, 1
5756, 0, 1
5817, 0, 1
5922, 0, 1
5969, 0, 1
6001, 0, 1
6058, 0, 1
6138, 0, 1
6261, 0, 1
6263, 0, 1
6275, 0, 1
6338, 0, 1
6360, 0, 1
6391, 0, 1
6392, 0, 1
6394, 0, 3
6395, 0, 1
6396, 0, 5
6397, 0, 8
6398, 0, 9
6399, 0, 10
6400, 0, 20
6401, 0, 12
6402, 0, 14
6403, 0, 6
6404, 0, 8
6405, 0, 18
6406, 0, 10
6407, 0, 14
6408, 0, 10
6409, 0, 7
6410, 0, 19
6411, 0, 14
6412, 0, 14
6413, 0, 15
6414, 0, 15
6415, 0, 7
6416, 0, 10
6417, 0, 10
6418, 0, 15
6419, 0, 10
6420, 0, 19
6421, 0, 11
6422, 0, 11
6423, 0, 8
6424, 0, 15
6425, 0, 13
6426, 0, 13
6427, 0, 19
6428, 0, 19
6429, 0, 16
6430, 0, 7
6431, 0, 21
6432, 0, 10
6433, 0, 13
6434, 0, 10
6435, 0, 13
6436, 0, 11
6437, 0, 16
6438, 0, 12
6439, 0, 12
6440, 0, 13
6441, 0, 18
6442, 0, 16
6443, 0, 18
6444, 0, 15
6445, 0, 17
6446, 0, 11
6447, 0, 12
6448, 0, 19
6449, 0, 18
6450, 0, 9
6451, 0, 14
6452, 0, 15
6453, 0, 17
6454, 0, 15
6455, 0, 15
6456, 0, 16
6457, 0, 16
6458, 0, 13
6459, 0, 19
6460, 0, 14
6461, 0, 14
6462, 0, 14
6463, 0, 12
6464, 0, 14
6465, 0, 12
6466, 0, 6
6467, 0, 17
6468, 0, 19
6469, 0, 10
6470, 0, 18
6471, 0, 15
6472, 0, 11
6473, 0, 17
6474, 0, 14
6475, 0, 19
6476, 0, 12
6477, 0, 15
6478, 0, 11
6479, 0, 14
6480, 0, 18
6481, 0, 12
6482, 0, 8
6483, 0, 8
6484, 0, 16
6485, 0, 14
6486, 0, 10
6487, 0, 21
6488, 0, 15
6489, 0, 19
6490, 0, 7
6491, 0, 9
6492, 0, 15
6493, 0, 15
6494, 0, 18
6495, 0, 19
6496, 0, 16
6497, 0, 22
6498, 0, 18
6499, 0, 14
6500, 0, 8
6501, 0, 16
6502, 0, 19
6503, 0, 16
6504, 0, 14
6505, 0, 22
6506, 0, 15
6507, 0, 9
6508, 0, 21
6509, 0, 21
6510, 0, 13
6511, 0, 16
6512, 0, 16
6513, 0, 24
6514, 0, 14
6515, 0, 17
6516, 0, 22
6517, 0, 25
6518, 0, 17
6519, 0, 23
6520, 0, 23
6521, 0, 22
6522, 0, 20
6523, 0, 18
6524, 0, 19
6525, 0, 18
6526, 0, 14
6527, 0, 19
6528, 0, 28
6529, 0, 23
6530, 0, 18
6531, 0, 17
6532, 0, 21
6533, 0, 24
6534, 0, 26
6535, 0, 18
6536, 0, 19
6537, 0, 18
6538, 0, 24
6539, 0, 19
6540, 0, 22
6541, 0, 15
6542, 0, 28
6543, 0, 23
6544, 0, 20
6545, 0, 21
6546, 0, 20
6547, 0, 23
6548, 0, 22
6549, 0, 18
6550, 0, 20
6551, 0, 24
6552, 0, 27
6553, 0, 23
6554, 0, 26
6555, 0, 26
6556, 0, 20
6557, 0, 30
6558, 0, 25
6559, 0, 20
6560, 0, 21
6561, 0, 16
6562, 0, 21
6563, 0, 20
6564, 0, 26
6565, 0, 22
6566, 0, 39
6567, 0, 25
6568, 0, 26
6569, 0, 21
6570, 0, 37
6571, 0, 21
6572, 0, 20
6573, 0, 25
6574, 0, 30
6575, 0, 21
6576, 0, 25
