[DISPLAY]
VER=244
TYPE=1
DATALEN=2
XPARAM=0
YPARAM=1
XRANGE=8191
YRANGE=0
NAME=C:\Dokumente, und, Einstellungen\Praktikum\Desktop\ELyas\right_Na_2.csv
XTITLE=x
YTITLE=y

[DATA]
56, 0, 1
58, 0, 1
59, 0, 1
65, 0, 1
67, 0, 4
68, 0, 11
69, 0, 28
70, 0, 64
71, 0, 51
72, 0, 69
73, 0, 61
74, 0, 58
75, 0, 61
76, 0, 49
77, 0, 68
78, 0, 71
79, 0, 62
80, 0, 80
81, 0, 67
82, 0, 65
83, 0, 66
84, 0, 65
85, 0, 61
86, 0, 68
87, 0, 66
88, 0, 69
89, 0, 76
90, 0, 63
91, 0, 60
92, 0, 74
93, 0, 67
94, 0, 58
95, 0, 66
96, 0, 59
97, 0, 44
98, 0, 74
99, 0, 63
100, 0, 79
101, 0, 81
102, 0, 75
103, 0, 58
104, 0, 59
105, 0, 66
106, 0, 66
107, 0, 64
108, 0, 63
109, 0, 65
110, 0, 72
111, 0, 65
112, 0, 62
113, 0, 91
114, 0, 55
115, 0, 55
116, 0, 65
117, 0, 66
118, 0, 69
119, 0, 57
120, 0, 71
121, 0, 59
122, 0, 82
123, 0, 68
124, 0, 56
125, 0, 62
126, 0, 68
127, 0, 69
128, 0, 72
129, 0, 69
130, 0, 58
131, 0, 52
132, 0, 70
133, 0, 58
134, 0, 66
135, 0, 73
136, 0, 72
137, 0, 54
138, 0, 62
139, 0, 65
140, 0, 72
141, 0, 71
142, 0, 68
143, 0, 67
144, 0, 68
145, 0, 58
146, 0, 80
147, 0, 60
148, 0, 59
149, 0, 70
150, 0, 69
151, 0, 72
152, 0, 72
153, 0, 64
154, 0, 68
155, 0, 66
156, 0, 84
157, 0, 81
158, 0, 71
159, 0, 56
160, 0, 69
161, 0, 69
162, 0, 66
163, 0, 64
164, 0, 66
165, 0, 79
166, 0, 60
167, 0, 61
168, 0, 66
169, 0, 65
170, 0, 72
171, 0, 71
172, 0, 79
173, 0, 55
174, 0, 66
175, 0, 71
176, 0, 59
177, 0, 81
178, 0, 59
179, 0, 63
180, 0, 82
181, 0, 64
182, 0, 75
183, 0, 64
184, 0, 67
185, 0, 64
186, 0, 58
187, 0, 68
188, 0, 82
189, 0, 69
190, 0, 59
191, 0, 59
192, 0, 68
193, 0, 65
194, 0, 62
195, 0, 52
196, 0, 55
197, 0, 66
198, 0, 75
199, 0, 64
200, 0, 78
201, 0, 66
202, 0, 79
203, 0, 85
204, 0, 57
205, 0, 65
206, 0, 78
207, 0, 79
208, 0, 56
209, 0, 67
210, 0, 54
211, 0, 57
212, 0, 72
213, 0, 69
214, 0, 78
215, 0, 69
216, 0, 72
217, 0, 76
218, 0, 73
219, 0, 72
220, 0, 62
221, 0, 68
222, 0, 75
223, 0, 77
224, 0, 54
225, 0, 59
226, 0, 69
227, 0, 77
228, 0, 72
229, 0, 69
230, 0, 71
231, 0, 64
232, 0, 78
233, 0, 65
234, 0, 79
235, 0, 68
236, 0, 65
237, 0, 89
238, 0, 57
239, 0, 66
240, 0, 78
241, 0, 81
242, 0, 76
243, 0, 62
244, 0, 72
245, 0, 62
246, 0, 66
247, 0, 69
248, 0, 67
249, 0, 55
250, 0, 64
251, 0, 73
252, 0, 88
253, 0, 63
254, 0, 74
255, 0, 64
256, 0, 69
257, 0, 63
258, 0, 78
259, 0, 68
260, 0, 71
261, 0, 71
262, 0, 74
263, 0, 93
264, 0, 55
265, 0, 65
266, 0, 65
267, 0, 74
268, 0, 79
269, 0, 57
270, 0, 68
271, 0, 85
272, 0, 60
273, 0, 84
274, 0, 72
275, 0, 64
276, 0, 64
277, 0, 74
278, 0, 59
279, 0, 66
280, 0, 55
281, 0, 69
282, 0, 88
283, 0, 61
284, 0, 68
285, 0, 64
286, 0, 65
287, 0, 58
288, 0, 61
289, 0, 63
290, 0, 75
291, 0, 75
292, 0, 72
293, 0, 79
294, 0, 76
295, 0, 74
296, 0, 68
297, 0, 75
298, 0, 68
299, 0, 84
300, 0, 67
301, 0, 58
302, 0, 91
303, 0, 70
304, 0, 79
305, 0, 76
306, 0, 68
307, 0, 91
