[DISPLAY]
VER=244
TYPE=1
DATALEN=2
XPARAM=0
YPARAM=1
XRANGE=8191
YRANGE=0
NAME=C:\Dokumente, und, Einstellungen\Praktikum\Desktop\ELyas\right_Na_2_withSCAadjustment.csv
XTITLE=x
YTITLE=y

[DATA]
4270, 0, 1
4996, 0, 1
5147, 0, 1
5224, 0, 1
5281, 0, 1
5392, 0, 1
5404, 0, 1
5666, 0, 2
5688, 0, 1
5760, 0, 1
5924, 0, 1
6007, 0, 1
6147, 0, 1
6239, 0, 1
6445, 0, 2
6446, 0, 2
6447, 0, 3
6448, 0, 5
6449, 0, 2
6450, 0, 7
6451, 0, 11
6452, 0, 8
6453, 0, 5
6454, 0, 9
6455, 0, 13
6456, 0, 7
6457, 0, 8
6458, 0, 13
6459, 0, 6
6460, 0, 7
6461, 0, 13
6462, 0, 6
6463, 0, 17
6464, 0, 6
6465, 0, 11
6466, 0, 9
6467, 0, 9
6468, 0, 7
6469, 0, 5
6470, 0, 13
6471, 0, 12
6472, 0, 11
6473, 0, 7
6474, 0, 12
6475, 0, 9
6476, 0, 6
6477, 0, 5
6478, 0, 13
6479, 0, 7
6480, 0, 3
6481, 0, 11
6482, 0, 10
6483, 0, 10
6484, 0, 12
6485, 0, 8
6486, 0, 10
6487, 0, 11
6488, 0, 13
6489, 0, 3
6490, 0, 12
6491, 0, 10
6492, 0, 6
6493, 0, 8
6494, 0, 9
6495, 0, 9
6496, 0, 8
6497, 0, 7
6498, 0, 12
6499, 0, 10
6500, 0, 14
6501, 0, 6
6502, 0, 7
6503, 0, 9
6504, 0, 6
6505, 0, 5
6506, 0, 7
6507, 0, 9
6508, 0, 6
6509, 0, 6
6510, 0, 9
6511, 0, 6
6512, 0, 13
6513, 0, 7
6514, 0, 4
6515, 0, 15
6516, 0, 8
6517, 0, 9
6518, 0, 8
6519, 0, 7
6520, 0, 7
6521, 0, 11
6522, 0, 17
6523, 0, 11
6524, 0, 7
6525, 0, 11
6526, 0, 11
6527, 0, 8
6528, 0, 12
6529, 0, 10
6530, 0, 5
6531, 0, 10
6532, 0, 15
6533, 0, 9
6534, 0, 9
6535, 0, 9
6536, 0, 6
6537, 0, 7
6538, 0, 6
6539, 0, 10
6540, 0, 13
6541, 0, 6
6542, 0, 7
6543, 0, 7
6544, 0, 7
6545, 0, 9
6546, 0, 5
6547, 0, 10
6548, 0, 11
6549, 0, 16
6550, 0, 12
6551, 0, 10
6552, 0, 11
6553, 0, 14
6554, 0, 10
6555, 0, 6
6556, 0, 7
6557, 0, 10
6558, 0, 7
6559, 0, 14
6560, 0, 6
6561, 0, 8
6562, 0, 10
6563, 0, 10
6564, 0, 7
6565, 0, 6
6566, 0, 10
6567, 0, 10
6568, 0, 7
6569, 0, 15
6570, 0, 11
6571, 0, 13
6572, 0, 14
6573, 0, 7
6574, 0, 8
6575, 0, 5
6576, 0, 13
6577, 0, 12
6578, 0, 13
6579, 0, 6
6580, 0, 10
6581, 0, 12
6582, 0, 9
6583, 0, 8
6584, 0, 5
6585, 0, 12
6586, 0, 8
6587, 0, 15
6588, 0, 16
6589, 0, 8
6590, 0, 11
6591, 0, 9
6592, 0, 8
6593, 0, 4
6594, 0, 5
6595, 0, 12
6596, 0, 10
6597, 0, 9
6598, 0, 9
6599, 0, 8
6600, 0, 13
6601, 0, 11
6602, 0, 12
6603, 0, 5
6604, 0, 6
6605, 0, 12
6606, 0, 16
6607, 0, 8
6608, 0, 8
6609, 0, 11
6610, 0, 12
6611, 0, 11
6612, 0, 10
6613, 0, 9
6614, 0, 2
6615, 0, 8
6616, 0, 6
6617, 0, 7
6618, 0, 14
6619, 0, 6
6620, 0, 6
6621, 0, 12
6622, 0, 11
6623, 0, 8
6624, 0, 8
6625, 0, 7
6626, 0, 6
6627, 0, 13
6628, 0, 9
6629, 0, 10
6630, 0, 10
6631, 0, 12
6632, 0, 11
6633, 0, 12
6634, 0, 7
6635, 0, 10
6636, 0, 8
6637, 0, 12
6638, 0, 5
6639, 0, 9
6640, 0, 13
6641, 0, 11
6642, 0, 10
6643, 0, 5
6644, 0, 11
6645, 0, 12
6646, 0, 11
